SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_8.started,sound_11.started,text_6.started,image_7.stopped,text_5.stopped,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00950708299933467,0.009892958001728402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
,,,,,,,,,,,,,,,,,,,0.009906708000926301,0.015219666001939913,0.015219666001939913,0.6837259579988313,2,0.633692625000549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6837541249988135,0.7393527080021158,5.678315375000238,5.6882467496655105,5.678315375000238,5.731998291001219,10.688013416667916,15.665467499999068,15.665467499999068,15.688475208000455,15.697716124668903,15.688475208000455,20.689535082667376,25.682018874998903,25.683302332665576,25.682018874998903,25.68629108300229,25.68629108300229,30.68275049966566,35.676003166001465,35.676003166001465,35.676003166001465,35.687680166666055,35.676003166001465,40.68765145766544,45.66848912500063,45.66848912500063,45.66532916600045,,,,,,,,,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.66535295799986,45.68286091600021,90.99843133299873,46.66906695800208,,,,,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66907983300189,46.66926195799897,,,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-18-Per.wav,Speaker2,گوینده۲,0,0,0,37,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72011720800219,46.72046754099938,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-10-Per.wav,Speaker3,گوینده۳,0,1,1,49,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.73868420800136,46.738949124999635,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-7-Per.wav,Speaker1,گوینده ۱,0,2,2,6,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.756851500002085,46.757077582999045,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-16-Per.wav,Speaker2,گوینده۲,0,3,3,35,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.77354008299881,46.773723541002255,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-19-Per.wav,Speaker1,گوینده ۱,0,4,4,18,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.78970570800084,46.78986437500134,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-20-Per.wav,Speaker3,گوینده۳,0,5,5,59,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8061021249996,46.8063325410003,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-17-Per.wav,Speaker1,گوینده ۱,0,6,6,16,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.822669458000746,46.822856499999034,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-6-Per.wav,Speaker4,گوینده۴,0,7,7,65,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.83859070800099,46.83882645799895,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-5-Per.wav,Speaker3,گوینده۳,0,8,8,44,,,,,90.99843133299873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.85455066600116,46.854727249999996,059469,001,2024-07-01_23h23.38.799,5-28,2024.1.4,None,2024-07-01 23h23.43.903317 +0900,
