SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image_7.started,sound_9.started,text_5.started,image.stopped,text_4.stopped,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009967166999558685,0.010291209000570234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010305333998985589,0.014677375002065673,0.014677375002065673,1.4676267920003738,3,1.4148690829970292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4676645420004206,1.5216118339994864,6.474169375000201,6.479478000667101,6.474169375000201,6.5174324170002365,11.480446583668042,16.456524917000934,16.46746816666588,16.456524917000934,16.467216666998866,16.467216666998866,21.467841166668464,26.451964416999544,26.451964416999544,26.459164291998604,26.46863108366621,26.459164291998604,31.476732416668042,36.44679166700007,36.44679166700007,36.4703155419993,36.479015750665226,36.4703155419993,41.469586833667805,46.469832334001694,46.469832334001694,46.46342962500057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.46356145900063,46.469832334001694,47.565358625000954,47.45844762500201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.45846095900197,47.458611459001986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-20-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,0,0,73,0,0,0,19,,,,,47.565358625000954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5416021250021,47.565358625000954,47.565358625000954,47.565358625000954,47.565358625000954,47.574919291668145,47.565358625000954,47.565358625000954,49.25315858400063,Correct! صحیح است,1,1,1,1.678034790998936,None,49.25758712500101,49.26985479200084,51.27809983399857,51.25417445900166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-6-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,0,0,73,0,1,1,25,,,,,51.27809983399857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.25493487499989,51.27809983399857,51.27809983399857,51.27809983399857,51.27809983399857,51.28667587533394,51.27809983399857,51.27809983399857,52.26047495899911,Correct! صحیح است,1,1,2,0.9759235829988029,None,52.26549737499954,52.27796333399965,54.2879790420011,54.26354787500168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-9-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,0,0,73,0,2,2,28,,,,,54.2879790420011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.26440441700106,54.2879790420011,54.2879790420011,54.2879790420011,54.2879790420011,54.296037583332264,54.2879790420011,54.2879790420011,55.38531000000148,Correct! صحیح است,1,1,2,1.0952760000000126,None,55.389468000001216,55.40594295900155,57.411172833999444,57.38895300000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-5-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,0,0,73,0,3,3,64,,,,,57.411172833999444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.38914199999999,57.411172833999444,57.411172833999444,57.411172833999444,57.411172833999444,57.40542229166773,57.411172833999444,57.411172833999444,59.15861695900094,Correct! صحیح است,1,1,4,1.7444224579994625,None,59.16278466700169,59.17449733399917,61.1862770000007,61.16063541699987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-11-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,0,0,73,0,4,4,30,,,,,61.1862770000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.16154287500103,61.1862770000007,61.1862770000007,61.1862770000007,61.1862770000007,61.19322762533241,61.1862770000007,61.1862770000007,62.615989249999984,Correct! صحیح است,1,1,2,1.4266717499995138,None,62.61994758400033,62.63215279200085,64.64102387499952,64.6187976250003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
