SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses,total_trials,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011218958999961615,0.015602208999553113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015619166999385925,0.021106666999912704,0.021106666999912704,1.123820667000473,3,1.0587880420007423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1238478340001166,1.1839581250005722,6.12408937500004,6.132465041666607,6.12408937500004,6.177826708999419,11.132205875667085,16.124417584000184,16.124417584000184,16.124417584000184,16.135963750666875,16.124417584000184,21.12850079166698,26.118516209000518,26.118516209000518,26.118516209000518,26.127018916666444,26.118516209000518,31.123596666666586,36.1156885420005,36.1156885420005,36.12035283399928,36.132355208667164,36.12035283399928,41.127070750666704,46.11324637500002,46.11324637500002,46.10830383400025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.108369292000134,46.11324637500002,47.18305212499945,47.09899837500052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.09903216699968,47.09930370899929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-20-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,0,0,19,,,,,47.18305212499945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.15654070900018,47.18305212499945,47.18305212499945,47.18305212499945,47.18305212499945,47.18158366733345,47.18305212499945,47.18305212499945,51.003933042000426,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,2,3.8103828330004035,None,0,1,51.004518084000665,51.01816983400022,53.02702045899969,53.002503792000425,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-2-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,1,1,21,,,,,53.02702045899969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.00267179199909,53.02702045899969,53.02702045899969,53.02702045899969,53.02702045899969,53.0355287923326,53.02702045899969,53.02702045899969,53.980315625,Correct! صحیح است,2,0.9447262499998033,None,0,2,53.98435262500061,54.00167816700014,,55.987206666999555,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-18-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,2,2,77,,,,,56.0107226250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.98739491699962,56.0107226250002,56.0107226250002,56.0107226250002,56.0107226250002,56.02049650033271,56.0107226250002,56.0107226250002,57.05824587499956,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,3,1.0403984999993554,None,0,3,57.06229499999972,57.07269754200024,59.08569191700008,59.05918783400011,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-15-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,3,3,14,,,,,59.08569191700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.05973362499935,59.08569191700008,59.08569191700008,59.08569191700008,59.08569191700008,59.09168883333271,59.08569191700008,59.08569191700008,60.21912545899977,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,3,1.119293124998876,None,0,4,60.22288395900068,60.23574712499976,,62.22596012500071,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-19-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,4,4,18,,,,,62.2509814999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.22613199999978,62.2509814999994,62.2509814999994,62.2509814999994,62.2509814999994,62.25925237533241,62.2509814999994,62.2509814999994,63.204254874999606,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,3,0.9517348329991364,None,0,5,63.20860483400065,63.22195516700049,,65.209823666999,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
