SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrialNumber,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,SessionNumberText.stopped,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.008698083001945633,0.009050332999322563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
,,,,,,,,,,,,,,,,,,,,0.009064583002327709,0.014453583000431536,0.014453583000431536,0.9553509159995883,1,0.908417582999391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553796660002263,0.9650521250005113,0.00018220900165033527,0.9650521250005113,1.9544663330016192,[-0.015274949083503055],[-0.21384928716904278],[1],[0],[0],[0.9981150419989717],['checkbox'],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9546367910006666,1.9948401250003371,6.942465915999492,6.953881291669192,6.942465915999492,6.992092832999333,14.931854708000174,14.931854708000174,14.94917329099917,14.962711082666162,14.94917329099917,22.942715625002165,22.942715625002165,22.942715625002165,22.954917457668003,22.942715625002165,30.942093541001668,30.942093541001668,30.952225875000295,30.958760207668334,30.952225875000295,38.94180658299956,38.94180658299956,38.93748066600165,,,,,,,,,,,,,,,,,,,,,,,,,,,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.93750579100015,38.94180658299956,40.02365741600079,39.93867612500253,,,,,,,,,,,,,,,,,,,,,,,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.93868958299936,39.93884641600016,,,,,,,,,,,,,,,,,,,,,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-2-Per.wav,Speaker4,گوینده۴,62,0,0,0,20,0,0,0,61,40.02365741600079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.992409916001634,40.02365741600079,40.02365741600079,40.02365741600079,40.02365741600079,40.02178116633271,40.02365741600079,40.02365741600079,40.02365741600079,43.517188500001794,45.35484225000255,نادرست! پاسخ صحیح گوینده۴ است,0,1,1,5.326687624998158,None,45.35528633300055,45.37273504100085,47.36480908299927,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-19-Per.wav,Speaker1,گوینده ۱,19,0,0,0,20,0,1,1,18,47.388937333002104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.36499037500107,47.388937333002104,47.388937333002104,47.388937333002104,47.388937333002104,47.398103749332705,47.388937333002104,47.388937333002104,47.388937333002104,50.884579207999195,51.624457958001585,نادرست! پاسخ صحیح گوینده ۱ است,0,2,2,4.2259570410024025,None,51.62469616599992,51.633703125000466,53.61821491600131,53.64164279100078,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-20-Per.wav,Speaker2,گوینده۲,40,0,0,0,20,0,2,2,39,53.64164279100078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.618404374999955,53.64164279100078,53.64164279100078,53.64164279100078,53.64164279100078,53.63464391666663,53.64164279100078,53.64164279100078,53.64164279100078,,56.695691375000024,نادرست! پاسخ صحیح گوینده۲ است,0,3,3,3.0530202919981093,None,56.69594933299959,56.70741870799975,58.694999875002395,58.719615707999765,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-16-Per.wav,Speaker1,گوینده ۱,16,0,0,0,20,0,3,3,15,58.719615707999765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69516533299975,58.719615707999765,58.719615707999765,58.719615707999765,58.719615707999765,58.7280683743343,58.719615707999765,58.719615707999765,58.719615707999765,62.217016333001084,62.60880200000247,صحیح است,1,4,1,3.886216250000871,None,62.60906104099922,62.61917245800214,64.60709341600159,64.62896658300087,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-5-Per.wav,Speaker4,گوینده۴,65,0,0,0,20,0,4,4,64,64.62896658300087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.60725979100243,64.62896658300087,64.62896658300087,64.62896658300087,64.62896658300087,64.62354537466696,64.62896658300087,64.62896658300087,64.62896658300087,68.11823045799974,68.37079254100172,نادرست! پاسخ صحیح گوینده۴ است,1,5,2,3.7377274999998917,None,68.37102333300209,68.38290437500109,70.37292233300104,,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-15-Per.wav,Speaker4,گوینده۴,75,0,0,0,20,0,5,5,74,70.40159154100184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37355445800131,70.40159154100184,70.40159154100184,70.40159154100184,70.40159154100184,70.40606049933606,70.40159154100184,70.40159154100184,70.40159154100184,73.89162170800046,74.2817236660012,نادرست! پاسخ صحیح گوینده۴ است,1,6,1,3.8738513750031416,None,74.28202016599971,74.29369850000148,76.28135408299931,76.30869133300075,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-13-Per.wav,Speaker1,گوینده ۱,13,0,0,0,20,0,6,6,12,76.30869133300075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.28194395800165,76.30869133300075,76.30869133300075,76.30869133300075,76.30869133300075,76.31385666633335,76.30869133300075,76.30869133300075,76.30869133300075,79.80326075000266,80.99986729100056,نادرست! پاسخ صحیح گوینده ۱ است,1,7,2,4.680866917002277,None,81.00017516600201,81.01156199999969,82.99962025000059,83.02140112500274,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-12-Per.wav,Speaker1,گوینده ۱,12,0,0,0,20,0,7,7,11,83.02140112500274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.99981883300279,83.02140112500274,83.02140112500274,83.02140112500274,83.02140112500274,83.01597133266866,83.02140112500274,83.02140112500274,83.02140112500274,,86.38729041600163,نادرست! پاسخ صحیح گوینده ۱ است,1,8,2,3.357971333000023,None,86.3875396250005,86.3987112499999,88.38230820800163,88.40442116600025,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-8-Per.wav,Speaker4,گوینده۴,68,0,0,0,20,0,8,8,67,88.40442116600025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.38250412500201,88.40442116600025,88.40442116600025,88.40442116600025,88.40442116600025,88.39876104166639,88.40442116600025,88.40442116600025,88.40442116600025,91.90217487500195,93.04239154099923,نادرست! پاسخ صحیح گوینده۴ است,1,9,3,4.629846417003137,None,93.04266762500265,93.05173458300123,95.04188441600127,95.06664775000172,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-15-Per.wav,Speaker2,گوینده۲,35,0,0,0,20,0,9,9,34,95.06664775000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.04283162499996,95.06664775000172,95.06664775000172,95.06664775000172,95.06664775000172,95.07439683333408,95.06664775000172,95.06664775000172,95.06664775000172,98.55832920800094,98.97904233300142,نادرست! پاسخ صحیح گوینده۲ است,1,10,1,3.9064120420007384,None,98.97929883300094,98.99048508300257,100.97544508300052,100.99756679100028,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-18-Per.wav,Speaker4,گوینده۴,78,0,0,0,20,0,10,10,77,100.99756679100028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.97561929100266,100.99756679100028,100.99756679100028,100.99756679100028,100.99756679100028,100.9919112916689,100.99756679100028,100.99756679100028,100.99756679100028,,103.32152262499949,نادرست! پاسخ صحیح گوینده۴ است,1,11,2,2.3212987080005405,None,103.32564383300269,103.33707920800225,105.3210008749993,105.34499970800243,122505,001,2024-07-31_15h04.19.889,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 15h04.24.347128 +0900,
