SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,Repeat_TrainingLoopGroup3.thisRepN,Repeat_TrainingLoopGroup3.thisTrialN,Repeat_TrainingLoopGroup3.thisN,Repeat_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy3.started,CheckAccuracy3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.00904149999951187,0.009343208999780472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009356583999760915,0.013978083999973023,0.013978083999973023,0.2929151249991264,3,0.24309245900076348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29294279199893936,0.341635333999875,5.291203583999959,5.297971166665108,5.291203583999959,5.3293849999990925,10.296800625665371,15.291745791999347,15.291745791999347,15.291745791999347,15.300121583666867,15.291745791999347,20.294317041665877,25.291944124999645,25.291944124999645,25.291944124999645,25.300917041666494,25.291944124999645,30.300450791666904,35.29057833399929,35.29057833399929,35.29057833399929,35.29518120866511,35.29057833399929,40.29816425066589,45.28886958399926,45.28886958399926,45.28333287499845,,,,,,,,,,,,,,,,,,,,,,,,,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.283376874998794,45.28886958399926,46.38046229199972,46.28363216700018,,,,,,,,,,,,,,,,,,,,,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.283643791999566,46.2837697089999,,,,,,,,,,,,,,,,,,,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-13-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,0,0,5,0,0,0,12,46.38046229199972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.354955416998564,46.38046229199972,46.38046229199972,46.38046229199972,46.38046229199972,46.38338933399937,46.38046229199972,46.38046229199972,47.239281041998765,Correct! صحیح است,0,2,1,0.8545227909999085,None,47.24338641699978,47.255867124998986,49.24804674999905,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,0,0,5,0,1,1,13,49.27270216699981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.24859354199907,49.27270216699981,49.27270216699981,49.27270216699981,49.27270216699981,49.28124900033302,49.27270216699981,49.27270216699981,50.373332249999294,Correct! صحیح است,0,4,1,1.0882832080005755,None,50.37730283400015,50.38615883399871,52.3736412090002,52.39613658399867,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-2-En.wav,Speaker2,گوینده۲,,,,,,,,,0,0,0,5,0,2,2,21,52.39613658399867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.37379329199939,52.39613658399867,52.39613658399867,52.39613658399867,52.39613658399867,52.390094875665696,52.39613658399867,52.39613658399867,52.43750504199852,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,6,1,0.03912862499964831,None,52.441304791998846,52.453973874999065,54.437512583999705,54.46074024999871,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-14-En.wav,Speaker3,گوینده۳,,,,,,,,,0,0,0,5,0,3,3,53,54.46074024999871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.43769954199888,54.46074024999871,54.46074024999871,54.46074024999871,54.46074024999871,54.47061579233244,54.46074024999871,54.46074024999871,54.51540449999993,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,8,1,0.04804462500032969,None,54.51912862499921,54.53131083399967,56.51675591699859,56.54081649999898,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-18-En.wav,Speaker2,گوینده۲,,,,,,,,,0,0,0,5,0,4,4,37,56.54081649999898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5172782919999,56.54081649999898,56.54081649999898,56.54081649999898,56.54081649999898,56.54914537533344,56.54081649999898,56.54081649999898,56.541356708999956,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,10,1,2.0270570000011503,None,56.54160724999929,56.551643166998474,58.544169583999974,,,,132303,001,2024-07-01_19h01.45.474,5-26,2024.1.4,None,2024-07-01 19h01.50.427866 +0900,
