SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackText.stopped,FeedbackRoutine1.stopped,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008633083998574875,0.008997666998766363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
,,,,,,,,,,,,,,,,,,,0.00901583399536321,0.013396458998613525,0.013396458998613525,0.3776947499936796,1,0.32569004100514576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.3777244589946349,0.38766137499624165,0.0001787919973139651,0.38766137499624165,1.4416942919997382,[-0.0835030549898167],[-0.04175152749490835],[1],[0],[0],[1.0633404160034843],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4418550419941312,1.4827049169980455,6.436847666998801,6.444131416665429,6.436847666998801,6.479240999993635,14.432051041992963,14.432051041992963,14.432051041992963,14.442578166661649,14.432051041992963,22.42909229199722,22.42909229199722,22.435336083995935,22.445758958663887,22.435336083995935,30.4227663749989,30.4227663749989,30.448116833998938,30.45550770866636,30.448116833998938,38.43926904199907,38.43926904199907,38.43281816699891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.43293804199493,38.43926904199907,39.50970545899327,39.424448666999524,,,,,,,,,,,,,,,,,,,,,,,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.42448370899365,39.42477008399874,,,,,,,,,,,,,,,,,,,,,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-13-Per.wav,Speaker4,گوینده۴,0,0,0,21,0,0,0,72,39.50970545899327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.478155541997694,39.50970545899327,39.50970545899327,39.50970545899327,39.50970545899327,39.50697987532961,39.50970545899327,39.50970545899327,39.50970545899327,43.00117504199443,نادرست! پاسخ صحیح گوینده۴ است,0,1,2,3.4867832500021905,None,43.0015842089997,43.01487937499769,45.02375104199746,44.99807462499302,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-16-Per.wav,Speaker1,گوینده ۱,0,0,0,21,0,1,1,15,45.02375104199746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.99825608399988,45.02375104199746,45.02375104199746,45.02375104199746,45.02375104199746,45.03119000032942,45.02375104199746,45.02375104199746,45.02375104199746,48.12843662499654,صحیح است,1,2,1,3.0984630419989116,None,48.12865570899885,48.13964570899407,50.14810195899918,50.12256804199569,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-12-Per.wav,Speaker1,گوینده ۱,0,0,0,21,0,2,2,11,50.14810195899918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.12275045899878,50.14810195899918,50.14810195899918,50.14810195899918,50.14810195899918,50.15571879233224,50.14810195899918,50.14810195899918,50.14810195899918,53.65299087499443,صحیح است,2,3,1,3.5036169170052744,None,53.65320249999786,53.66902399999526,,55.65408858399314,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-17-Per.wav,Speaker2,گوینده۲,0,0,0,21,0,3,3,36,55.67976554199413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.654290916994796,55.67976554199413,55.67976554199413,55.67976554199413,55.67976554199413,55.68735916732888,55.67976554199413,55.67976554199413,55.67976554199413,57.7285080839938,نادرست! پاسخ صحیح گوینده۲ است,2,4,1,2.0394778750051046,None,57.73264345899952,57.74412970899721,,59.73640662499383,,,,,137442,001,2024-08-01_15h12.03.036,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-01 15h12.07.345613 +0900,
