SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,TestPhase3.stopped,test3_response_keyboard.keys,test3_response_keyboard.rt,test3_response_keyboard.duration,test3_response,test3_image_file1,test3_image_file2,test3_image_file3,test3_image_file4,test3_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009922625000399421,0.010239457998977741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010256707999360515,0.01456904099904932,0.01456904099904932,1.118430124999577,3,1.0673849169997993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1184583329995803,1.171059915999649,6.11659595799938,6.1264549576665255,6.11659595799938,6.169617333000133,11.127253541666748,16.109624540998993,16.109624540998993,16.109624540998993,16.117960291665682,16.109624540998993,21.12065649966668,26.10821966599906,26.10821966599906,26.112513874999422,26.124886332665724,26.112513874999422,31.121234291666283,36.110891999998785,36.110891999998785,36.115871750000224,36.12755866666545,36.115871750000224,41.12658299966667,46.116853083000024,46.116853083000024,46.1122743750002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.11229458299931,46.116853083000024,47.19040924999899,47.10961154100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.10964849999982,47.1099164999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-9-En.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,59,0,0,0,68,,,,,47.19040924999899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.16229333299998,47.19040924999899,47.19040924999899,47.19040924999899,47.19040924999899,47.19203429133207,47.19040924999899,47.19040924999899,51.04179066599863,Correct! صحیح است,1,1,4,3.849966959000085,None,51.042185500000414,51.05430299999898,53.05159562500012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-6-En.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,59,0,1,1,65,,,,,53.07708158300011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.05180662499879,53.07708158300011,53.07708158300011,53.07708158300011,53.07708158300011,53.08489320833226,53.07708158300011,53.07708158300011,55.43008262500007,Correct! صحیح است,1,1,4,2.349580957999933,None,55.433956666000086,55.44973674999892,57.434670749998986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-3-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,59,0,2,2,2,,,,,57.45979404100035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.43536366599983,57.45979404100035,57.45979404100035,57.45979404100035,57.45979404100035,57.46783387433291,57.45979404100035,57.45979404100035,59.21480170799987,Correct! صحیح است,1,1,1,1.753842292000627,None,59.219184707999375,59.23070550000011,61.22077120799986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-14-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,59,0,3,3,53,,,,,61.2520370000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.22094487499999,61.2520370000002,61.2520370000002,61.2520370000002,61.2520370000002,61.254064666333335,61.2520370000002,61.2520370000002,64.2543925409991,Correct! صحیح است,1,1,3,3.000855500000398,None,64.25862349999989,64.27049979099866,66.25342520800041,66.27616908299933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-3-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,59,0,4,4,22,,,,,66.27616908299933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.25362095799937,66.27616908299933,66.27616908299933,66.27616908299933,66.27616908299933,66.26979741666607,66.27616908299933,66.27616908299933,67.26223870799913,Correct! صحیح است,1,1,2,0.9830314169994381,None,67.26620462499886,67.27744037499906,69.27330533299937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-6-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,59,0,5,5,25,,,,,69.29680854099934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.27347145800013,69.29680854099934,69.29680854099934,69.29680854099934,69.29680854099934,69.30660616633261,69.29680854099934,69.29680854099934,70.51984574999915,Correct! صحیح است,1,1,2,1.2220408330013015,None,70.52399966600024,70.53535366599863,72.52293937499962,72.54963399999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-8-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,59,0,6,6,27,,,,,72.54963399999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.52354204099902,72.54963399999906,72.54963399999906,72.54963399999906,72.54963399999906,72.55520424933323,72.54963399999906,72.54963399999906,73.93160404099945,Correct! صحیح است,1,1,2,1.3790433750000375,None,73.93594754100013,73.94747199999983,75.9351890830003,75.95886970799984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-13-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,59,0,7,7,52,,,,,75.95886970799984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93538658299985,75.95886970799984,75.95886970799984,75.95886970799984,75.95886970799984,75.96828020833212,75.95886970799984,75.95886970799984,77.55394054099997,Correct! صحیح است,1,1,3,1.594081165998432,None,77.55780229099946,77.56924583299951,79.56449674999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-9-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,59,0,8,8,28,,,,,79.58860237499903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56510408299982,79.58860237499903,79.58860237499903,79.58860237499903,79.58860237499903,79.59764929133283,79.58860237499903,79.58860237499903,80.93205770799977,Correct! صحیح است,1,1,2,1.3412241669993819,None,80.93597887499891,80.94786770799874,82.93213245799961,82.95557387499866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-3-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,59,0,9,9,42,,,,,82.95557387499866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9323209159993,82.95557387499866,82.95557387499866,82.95557387499866,82.95557387499866,82.96519799933279,82.95557387499866,82.95557387499866,84.23656262499935,Correct! صحیح است,1,1,3,1.2764395410013094,None,84.24062737500026,84.25216470799933,86.23705295800028,86.26143170799878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-13-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,59,0,10,10,12,,,,,86.26143170799878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.23720533300002,86.26143170799878,86.26143170799878,86.26143170799878,86.26143170799878,86.27013945833326,86.26143170799878,86.26143170799878,87.65646329099945,Correct! صحیح است,1,1,1,1.3859318329996313,None,87.66066466600023,87.67208720799863,89.66239604099974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-15-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,59,0,11,11,14,,,,,89.69118708299902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.66308149999895,89.69118708299902,89.69118708299902,89.69118708299902,89.69118708299902,89.69557720833339,89.69118708299902,89.69118708299902,92.21243958299965,Correct! صحیح است,1,1,1,2.5161324159998912,None,92.2163121249996,92.2279072909987,94.21227399999952,94.2354544159989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166961,001,2024-07-03_14h13.58.388,5-32 ready-Group3 English Trained,2024.1.4,None,2024-07-03 14h14.06.243704 +0900,
