SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image_7.started,sound_9.started,text_5.started,image.stopped,text_4.stopped,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses_group3,total_trials_group3,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test_group3,CheckAccuracy3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.01102654199985409,0.011335457999848586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
,,,,,,,,,,,,,,,,,,,,,,,0.011351125000146567,0.023095667000234243,0.023095667000234243,1.3796258329994089,3,1.3199310829995738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.379651707999983,1.4517441669995605,6.385615791999953,6.380756833666298,6.385615791999953,6.442538958000114,11.390335874666805,16.37616783300018,16.383151291666096,16.37616783300018,16.380697667000277,16.380697667000277,21.383005708666374,26.36830458300028,26.36830458300028,26.36830458300028,26.37998412466665,26.36830458300028,31.380854166666964,36.36331504200007,36.36331504200007,36.368552666999676,36.37998170866673,36.368552666999676,41.38151287466668,46.36098870800015,46.36098870800015,46.35628241699942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.35632474999966,46.37987358299961,47.45809762499994,47.373567583000295,,,,,,,,,,,,,,,,,,,,,,,,,,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.37358391699945,47.37373275000027,,,,,,,,,,,,,,,,,,,,,,,,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-15-En.wav,Speaker4,گوینده۴,,,,,,,,,0,0,0,74,47.45809762499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43063904199971,47.45809762499994,47.45809762499994,47.45809762499994,47.45809762499994,47.45669404133363,47.45809762499994,47.45809762499994,50.719544374999714,Correct! صحیح است,4,3.2595491249994666,None,0,1,50.72427708299983,50.737137000000075,52.74695191699993,52.72371275000023,52.723723832999895,0.0,False,52.72399295800005,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-3-En.wav,Speaker2,گوینده۲,,,,,,,,,0,1,1,22,52.74695191699993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7241686669995,52.74695191699993,52.74695191699993,52.74695191699993,52.74695191699993,52.75679629133313,52.74695191699993,52.74695191699993,54.16135695799949,Correct! صحیح است,2,1.4089899589998822,None,0,2,54.16539791699961,54.176859041999705,56.18834416699974,56.162235750000036,56.162249332999636,0.0,False,56.16246287499962,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-2-En.wav,Speaker2,گوینده۲,,,,,,,,,0,2,2,21,56.18834416699974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.16268391699941,56.18834416699974,56.18834416699974,56.18834416699974,56.18834416699974,56.19537029133292,56.18834416699974,56.18834416699974,57.647417416999815,Correct! صحیح است,2,1.458006583000497,None,0,3,57.65225920800003,57.668955791999906,59.67574158299976,59.6523106249997,59.65231991699966,0.0,False,59.65248995799993,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-17-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,3,3,16,59.67574158299976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.652673791999405,59.67574158299976,59.67574158299976,59.67574158299976,59.67574158299976,59.68540691633328,59.67574158299976,59.67574158299976,61.057700291999936,Correct! صحیح است,1,1.3797900420004225,None,0,4,61.0616791249995,61.073153542,63.0839134580001,63.057440874999884,63.05748104200029,0.0,False,63.05780429199967,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-9-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,4,4,8,63.0839134580001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0585076669995,63.0839134580001,63.0839134580001,63.0839134580001,63.0839134580001,63.08987283333275,63.0839134580001,63.0839134580001,64.27179587499995,Correct! صحیح است,1,1.183799917000215,None,0,5,64.27608387500004,64.28713783300009,66.29559879199951,66.27146133299993,66.27146979200006,0.0,False,66.27178937499957,201888,001,2024-07-01_11h45.26.659,5-25,2024.1.4,None,2024-07-01 11h45.32.596912 +0900,
