SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_9.started,sound_13.started,text_7.started,image_8.stopped,text_6.stopped,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008677708006871399,0.008985125001345295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
,,,,,,,,,,,,,,,,,,,0.009001792001072317,0.013198500004364178,0.013198500004364178,1.261124208002002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,1.261155875006807,1.3135010830010287,6.25139591700281,6.261460916666935,6.25139591700281,6.312698708003154,11.266075291667464,16.253667208002298,16.253667208002298,16.253667208002298,16.265198791672688,16.253667208002298,21.260837083671746,26.241374708006333,26.241374708006333,26.266800708006485,26.274021208668515,26.266800708006485,31.269955958672895,36.24989762500627,36.26066029166783,36.24989762500627,36.260418333004054,36.260418333004054,41.26396929166755,46.2426342079998,46.2426342079998,46.23841495800298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.238474375000806,46.26220891700359,47.326981875005,47.24666879200231,,,,,,,,,,,,,,,,,,,,,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.24669745800202,47.24699941700237,,,,,,,,,,,,,,,,,,,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,گوینده۲,0,0,0,3,0,0,0,20,47.326981875005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29898500000127,47.326981875005,47.326981875005,47.326981875005,47.326981875005,47.32927250033875,47.326981875005,47.326981875005,50.288797667002655,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,2.9486840419995133,None,50.28925883299962,50.29981929200585,52.290806500001054,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-19-Per.wav,Speaker4,گوینده۴,0,0,0,3,0,1,1,78,52.3172514580001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.29140350000671,52.3172514580001,52.3172514580001,52.3172514580001,52.3172514580001,52.32396575033684,52.3172514580001,52.3172514580001,55.21776370800217,Correct! صحیح است,1,2,4,2.8980742919957265,None,55.22183854200557,55.234475583005405,57.222188958003244,57.248141916999884,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-5-Per.wav,Speaker2,گوینده۲,0,0,0,3,0,2,2,24,57.248141916999884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.223133708001114,57.248141916999884,57.248141916999884,57.248141916999884,57.248141916999884,57.25465233333719,57.248141916999884,57.248141916999884,60.09793658300623,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,3,1,2.8436800419949577,None,60.09812337500625,60.11124508300418,62.1069751670002,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-20-Per.wav,Speaker3,گوینده۳,0,0,0,3,0,3,3,59,62.133560958005546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.10767150000174,62.133560958005546,62.133560958005546,62.133560958005546,62.133560958005546,62.14016670833419,62.133560958005546,62.133560958005546,62.29747279200092,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,4,1,0.15906874999927823,None,62.301200208006776,62.313618958003644,64.30440358300257,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-13-Per.wav,Speaker3,گوینده۳,0,0,0,3,0,4,4,52,64.3287516670025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.30455504200654,64.3287516670025,64.3287516670025,64.3287516670025,64.3287516670025,64.33769654133405,64.3287516670025,64.3287516670025,64.61585500000365,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,5,1,0.2807694170041941,None,64.61966966700129,64.6325366670062,66.62112550000165,,,,,,217941,001,2024-07-02_14h29.10.851,5-33,2024.1.4,None,2024-07-02 14h29.15.081022 +0900,
