SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009619917000236455,0.009916500002873363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
,,,,,,,,,,,,,,,,,,,0.009929875002853805,0.014579167000192683,0.014579167000192683,0.6478913750033826,3,0.5936601659996086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6479276670033869,0.6978155000033439,5.640940375000355,5.650530083669097,5.640940375000355,5.692041792000964,10.654272124669903,15.641885000000912,15.641885000000912,15.641885000000912,15.65376874966775,15.641885000000912,20.64882433366826,25.639583083000616,25.639583083000616,25.644714250000106,25.656249749667282,25.644714250000106,30.6552049996683,35.64423912500206,35.64423912500206,35.64423912500206,35.65593604166885,35.64423912500206,40.64721124966697,107.60147916700225,107.60147916700225,45.637621292000404,,,,,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.63764000000083,45.637772667003446,,,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-13-Per.wav,Speaker3,گوینده۳,0,0,0,52,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68805254200197,45.68831787500312,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-4-Per.wav,Speaker3,گوینده۳,0,1,1,43,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.70645541700287,45.70670812500248,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-2-Per.wav,Speaker1,گوینده ۱,0,2,2,1,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.72422537500097,45.72441370800152,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-3-Per.wav,Speaker1,گوینده ۱,0,3,3,2,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.74155291700299,45.741748458000075,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-5-Per.wav,Speaker2,گوینده۲,0,4,4,24,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7577702080016,45.75795154200023,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-11-Per.wav,Speaker1,گوینده ۱,0,5,5,10,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77381737500036,45.77402916700157,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-19-Per.wav,Speaker3,گوینده۳,0,6,6,58,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.790178000002925,45.79036345800341,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-9-Per.wav,Speaker4,گوینده۴,0,7,7,68,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.80663183300203,45.806802458002494,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-14-Per.wav,Speaker4,گوینده۴,0,8,8,73,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82269208300204,45.82285079200301,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,گوینده۲,0,9,9,20,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.83866683300221,45.83883645800233,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-2-Per.wav,Speaker2,گوینده۲,0,10,10,21,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8545903330014,45.854750417001924,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-10-Per.wav,Speaker1,گوینده ۱,0,11,11,9,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.87115900000208,45.87134029200024,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-7-Per.wav,Speaker3,گوینده۳,0,12,12,46,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8871382920006,45.887359083000774,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-4-Per.wav,Speaker2,گوینده۲,0,13,13,23,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.90310204200068,45.90326870800345,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-18-Per.wav,Speaker1,گوینده ۱,0,14,14,17,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.91908095800318,45.91932195800109,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
