SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,accuracy_group1,proceed_to_test_group1,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.011319375000311993,0.0117231250005716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
,,,,,,,,,,,,,,,,,,,0.011739292000129353,0.01619970800311421,0.01619970800311421,0.763708417001908,3,0.7126696669984085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.7637458330027584,0.8196113750018412,5.7574424170015845,5.76705974966923,5.7574424170015845,5.818198000000848,10.764861333668039,15.746068833002937,15.746068833002937,15.752898083002947,15.762735499669605,15.752898083002947,20.77254829166874,25.743191375000606,25.743191375000606,25.762935292001202,25.773109708669168,25.762935292001202,30.77458120866892,35.75655329200163,35.75655329200163,35.76443583300352,35.77321995866829,35.76443583300352,40.76328770866918,67.1996667500025,67.1996667500025,45.7491550420018,,,,,,,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.74920679200295,45.74952512500022,,,,,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,گوینده۲,0,0,0,20,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.80278883300343,0.0,False,45.8031186670014,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-5-Per.wav,Speaker1,گوینده ۱,0,1,1,4,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82157954200011,0.0,False,45.82179087500117,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-9-Per.wav,Speaker2,گوینده۲,0,2,2,28,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.83936112500305,0.0,False,45.839623500000016,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-17-Per.wav,Speaker2,گوینده۲,0,3,3,36,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.85669166700245,0.0,False,45.85693204200288,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-3-Per.wav,Speaker2,گوینده۲,0,4,4,22,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.87296070800221,0.0,False,45.8731370830028,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-5-Per.wav,Speaker4,گوینده۴,0,5,5,64,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.88891591700303,0.0,False,45.88909520800007,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
