SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_9.started,sound_14.started,text_7.started,image_8.stopped,text_6.stopped,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,break_message.started,Break.stopped,FeedbackText.stopped,break_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0085074579983484,0.008874457998899743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
,,,,,,,,,,,,,,,,,,,0.008895749997464009,0.01307904099667212,0.01307904099667212,0.3677372079982888,1,0.3178903750012978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.36776199999439996,0.3778308749970165,0.00015258400526363403,0.3778308749970165,0.9246142499978305,[-0.12830957230142567],[0.2668024439918534],[1],[0],[0],[0.5560507919944939],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92476316599641,0.9656264160003047,5.915995915995154,5.926590457664376,5.915995915995154,5.960403082994162,13.913957749995461,13.913957749995461,13.918887832995097,13.930624416662129,13.918887832995097,21.906548457998724,21.906548457998724,21.926801582994813,21.938516249665795,21.926801582994813,29.9204557080011,29.924006874662396,29.9204557080011,29.925361499997962,29.925361499997962,37.90751433299738,37.90751433299738,37.905393499997444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.905425124998146,37.92266716599988,38.994436458000564,38.91234937500121,,,,,,,,,,,,,,,,,,,,,,,,,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9123652499984,38.912503832994844,,,,,,,,,,,,,,,,,,,,,,,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-17-Per.wav,Speaker2,گوینده۲,0,0,0,2,0,0,0,36,38.994436458000564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9646956659999,38.994436458000564,38.994436458000564,38.994436458000564,38.994436458000564,38.99542879133272,38.994436458000564,38.994436458000564,38.994436458000564,40.909238249994814,نادرست! پاسخ صحیح گوینده۲ است,0,1,1,1.913293709003483,None,40.91344258299796,40.93264008299593,42.92071987500094,42.92073087499739,42.93801204099873,43.915693791001104,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-19-Per.wav,Speaker4,گوینده۴,0,0,0,2,0,1,1,78,43.942260208001244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.91588520799996,43.942260208001244,43.942260208001244,43.942260208001244,43.942260208001244,43.94898341633282,43.942260208001244,43.942260208001244,43.942260208001244,45.31002112499846,نادرست! پاسخ صحیح گوینده۴ است,0,2,2,1.3663733749999665,None,45.31411754099827,45.326226958000916,47.322076290998666,47.322113665999495,47.329839124999125,48.32223383299424,,,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-3-Per.wav,Speaker2,گوینده۲,0,0,0,2,0,2,2,22,48.349067874994944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3224548329963,48.349067874994944,48.349067874994944,48.349067874994944,48.349067874994944,48.35550695833129,48.349067874994944,48.349067874994944,48.349067874994944,51.14278754100087,نادرست! پاسخ صحیح گوینده۲ است,0,3,3,2.7904951669988804,None,51.14303454099718,51.154781707999064,53.14131545800046,53.14134808299423,53.147277124997345,54.135236249996524,53.147277124997345,54.16101374999562,343644,001,2024-08-02_12h34.01.081,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h34.05.792217 +0900,
,,,,,,,,,,,,,,,54.16101374999562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.13542654099729,54.16101374999562,54.16101374999562,54.16101374999562,54.16101374999562,54.168368041333935,54.16101374999562,54.16101374999562,54.16101374999562,,,,,,,,,,,,,,,,,,,,,,,
