SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,CorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.010443374994792975,0.01081408400204964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
,,,,,,,,,,,,,,,,,,,,,,,0.010832333995494992,0.015547749993856996,0.015547749993856996,1.5095393749943469,3,1.457616917003179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5095674999902258,1.5639337089960463,6.507600291995914,6.512857333659,6.507600291995914,6.554146374997799,11.521078458656364,16.49602787499316,16.49602787499316,16.50099879199115,16.512694541659826,16.50099879199115,21.522154083668525,26.49984224999207,26.49984224999207,26.49984224999207,26.511752625669274,26.49984224999207,31.521397208667864,36.49275725000189,36.49275725000189,36.49967408399971,36.50942391666855,36.49967408399971,41.51319145865661,46.49367341698962,46.49367341698962,46.489519833994564,,,,,,,,,,,,,,,,,,,,,,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.48956979200011,46.50656579199131,51.58133120898856,51.49653833400225,,,,,,,,,,,,,,,,,,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-1-En.wav,Speaker4,گوینده۴,,,,,,,,,0,0,0,60,51.58133120898856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55200441699708,51.58133120898856,51.58133120898856,51.58133120898856,51.58133120898856,51.579026083335826,51.58133120898856,51.58133120898856,57.832050583994715,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۴ است,2,6.247304749995237,None,57.83258937500068,57.85000174999004,59.83642524998868,,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-3-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,1,1,2,59.860025208996376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.83660216699354,59.860025208996376,59.860025208996376,59.860025208996376,59.860025208996376,59.869710583334864,59.860025208996376,59.860025208996376,62.55945016699843,Correct! صحیح است,1,2.6967170419957256,None,62.559705416992074,62.569897458990454,64.55622233399481,64.57975687499857,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-8-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,2,2,7,64.57975687499857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.55639891698956,64.57975687499857,64.57975687499857,64.57975687499857,64.57975687499857,64.58933783333535,64.57975687499857,64.57975687499857,67.60830924999027,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,2,3.027142624996486,None,67.6123486669967,67.62345554199419,69.60600824998983,69.62919495899405,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-19-En.wav,Speaker2,گوینده۲,,,,,,,,,0,3,3,38,69.62919495899405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.60616574999585,69.62919495899405,69.62919495899405,69.62919495899405,69.62919495899405,69.63914270832223,69.62919495899405,69.62919495899405,72.89544295899395,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۲ است,4,3.2615088340098737,None,72.89563583399286,72.9073360839975,74.8963692499965,74.92194379199645,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-11-En.wav,Speaker4,گوینده۴,,,,,,,,,0,4,4,70,74.92194379199645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.89690291699662,74.92194379199645,74.92194379199645,74.92194379199645,74.92194379199645,74.92863145832283,74.92194379199645,74.92194379199645,78.6278037919983,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۴ است,3,3.699764167002286,None,78.62802591700165,78.63875008399191,80.62309362499218,80.65039695899759,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-10-En.wav,Speaker2,گوینده۲,,,,,,,,,0,5,5,29,80.65039695899759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62400145900028,80.65039695899759,80.65039695899759,80.65039695899759,80.65039695899759,80.65546937533557,80.65039695899759,80.65039695899759,83.1622162089916,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۲ است,2,2.5074787920020754,None,83.16618487499363,83.17674958398857,85.1633357089886,85.18650899999193,384064,001,2024-06-23_17h32.56.900,5-11,2024.1.4,None,2024-06-23 17h33.02.425273 +0900,
