SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingloopGroup1.thisRepN,repeated_TrainingloopGroup1.thisTrialN,repeated_TrainingloopGroup1.thisN,repeated_TrainingloopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.01650912500008417,0.022830542000519927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
,,,,,,,,,,,,,,,,,,,0.02286649999950896,0.028477583000494633,0.028477583000494633,1.1700972079997882,2,1.10178229200028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.1701328750004905,1.2290322080007172,6.164088749999792,6.172193708666115,6.164088749999792,6.223451083000327,11.174704333667494,16.161896292000165,16.161896292000165,16.161896292000165,16.172922708667343,16.161896292000165,21.170031666666787,26.152277082999717,26.152277082999717,26.172087082999496,26.18359549966614,26.172087082999496,31.171273166666893,36.16770762499982,36.16770762499982,36.16770762499982,36.177388249667516,36.16770762499982,41.17016074966729,46.15418112500083,46.15418112500083,46.15182858300068,,,,,,,,,,,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.15184570800011,46.16867199999979,65.19677849999971,47.160684958000274,,,,,,,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.160717875000046,47.16099100000065,,,,,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-7-Per.wav,Speaker4,گوینده۴,0,0,0,66,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.21484287500061,0.0,False,47.21518887499951,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-16-Per.wav,Speaker2,گوینده۲,0,1,1,35,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.23380287500004,0.0,False,47.234032708000086,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-19-Per.wav,Speaker1,گوینده ۱,0,2,2,18,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.251624083000934,0.0,False,47.251845208000304,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-10-Per.wav,Speaker4,گوینده۴,0,3,3,69,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.268658667000636,0.0,False,47.26887941700079,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-18-Per.wav,Speaker1,گوینده ۱,0,4,4,17,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.28470175000075,0.0,False,47.28490641700046,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-15-Per.wav,Speaker1,گوینده ۱,0,5,5,14,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.30083729200123,0.0,False,47.30104695800037,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-16-Per.wav,Speaker3,گوینده۳,0,6,6,55,,,,,65.19677849999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.31681933300024,0.0,False,47.31705441700069,453494,001,2024-07-03_14h03.22.645,5-all in one,2024.1.4,None,2024-07-03 14h03.27.862570 +0900,
