SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,Initialize.started,Initialize.stopped,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,Feedback,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.015797958003531676,0.016204917003051378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
,,,,,,,,,,,,,,,0.01621954199799802,0.016389583004638553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
,,,,,,,,,,,,,,,,,0.016403166999225505,0.022118250002677087,0.022118250002677087,1.3020093329978408,1,1.2418231249976088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,1.30203779200383,1.3628095829990343,6.298365292001108,6.30669687466822,6.298365292001108,6.352399041999888,11.305909499668148,16.294376249999914,16.294376249999914,16.294376249999914,16.307018624666185,16.294376249999914,21.303096499668996,26.289330457999313,26.289330457999313,26.294542374998855,26.30599712466598,26.294542374998855,31.30714387466675,36.290622749998874,36.290622749998874,36.29756887500116,36.30728941666554,36.29756887500116,41.30227483367004,46.285533499998564,46.285533499998564,46.28097783299745,,,,,,,,,,,,,,,,,,,,,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28103225000086,46.29709250000451,51.34628150000208,51.28138200000103,,,,,,,,,,,,,,,,,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-11-Per.wav,Speaker1,گوینده ۱,0,0,0,10,51.34628150000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.31737462500314,51.34628150000208,51.34628150000208,51.34628150000208,51.34628150000208,51.347765666666476,51.34628150000208,51.34628150000208,54.59380783300003,1,3.242452833997959,None,54.65180408299784,Incorrect,54.67872341700422,56.6568334170006,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-16-Per.wav,Speaker3,گوینده۳,0,1,1,55,56.683265833002224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.65958237500308,56.683265833002224,56.683265833002224,56.683265833002224,56.683265833002224,56.69012362533297,56.683265833002224,56.683265833002224,59.57710566699825,2,2.885528584003623,None,59.58117745799973,Incorrect,59.59214483300457,61.57755837500008,61.60302333300206,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-12-Per.wav,Speaker3,گوینده۳,0,2,2,51,61.60302333300206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.58021570800338,61.60302333300206,61.60302333300206,61.60302333300206,61.60302333300206,61.610629416333296,61.60302333300206,61.60302333300206,67.36866504199861,3,5.7622303329990245,None,67.37259537500358,Incorrect,67.38629533300264,69.38037791699753,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-15-Per.wav,Speaker1,گوینده ۱,0,3,3,14,69.40798158300458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.38305583300098,69.40798158300458,69.40798158300458,69.40798158300458,69.40798158300458,69.41366487533426,69.40798158300458,69.40798158300458,72.5402398330043,2,3.1288979169985396,None,72.54956195800332,Incorrect,72.56275758300035,74.54643933300395,74.57322066699999,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-10-Per.wav,Speaker3,گوینده۳,0,4,4,49,74.57322066699999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54912275000243,74.57322066699999,74.57322066699999,74.57322066699999,74.57322066699999,74.57954954133359,74.57322066699999,74.57322066699999,76.01873758299917,3,1.4405472080034087,None,76.02642170800391,Incorrect,76.04000570800417,78.03081825000118,,495523,001,2024-06-21_20h46.01.973,5-8,2024.1.4,None,2024-06-21 20h46.07.673810 +0900,
