SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,break_message.started,Break.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009357458999147639,0.009670999999798369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
,,,,,,,,,,,,,,,,,,,0.00968750000174623,0.0140319170022849,0.0140319170022849,1.1346211249983753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,1.1346560000019963,1.1443568339964258,0.00019629199960036203,1.1443568339964258,2.175978708997718,[-0.13034623217922606],[0.25661914460285135],[1],[0],[0],[1.0405652079934953],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1761497089974,2.2188901670015184,7.171794125002634,7.1751946666665996,7.171794125002634,7.220135249997838,15.172516667000309,15.172516667000309,15.172516667000309,15.182264500665285,15.172516667000309,23.173186749998422,23.173186749998422,23.173186749998422,23.182192958669717,23.173186749998422,31.167693249997683,31.167693249997683,31.167693249997683,31.179782083669366,31.167693249997683,39.16588424999645,39.16588424999645,39.154390916999546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.154416208999464,39.17203916700237,40.242216083999665,40.15538299999753,,,,,,,,,,,,,,,,,,,,,,,,,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.15542687499692,40.15576866699848,,,,,,,,,,,,,,,,,,,,,,,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-12-Per.wav,Speaker3,گوینده۳,0,0,0,47,0,0,0,51,40.242216083999665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2109727499992,40.242216083999665,40.242216083999665,40.242216083999665,40.242216083999665,40.237959208335575,40.242216083999665,40.242216083999665,40.242216083999665,41.17964333399868,نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.9293610419990728,None,41.18414404200303,41.20250608400238,43.1886784169983,43.18872358399676,43.226332541999,43.20252191700274,,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-9-Per.wav,Speaker1,گوینده ۱,0,0,0,47,0,1,1,8,43.226332541999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.202795124998374,44.18520091699611,44.18520091699611,44.18520091699611,44.18520091699611,,44.18520091699611,44.18520091699611,44.18520091699611,49.235740459000226,نادرست! پاسخ صحیح گوینده ۱ است,0,2,2,5.043610125001578,None,49.235987499996554,49.248063416998775,51.23458270900301,51.23460945900297,51.26181383399671,51.23559224999917,51.26181383399671,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-3-Per.wav,Speaker4,گوینده۴,0,0,0,47,0,2,2,62,51.26181383399671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.23633916700055,52.23524754199752,52.23524754199752,52.23524754199752,52.23524754199752,52.24308466666504,52.23524754199752,52.23524754199752,52.23524754199752,53.64189883400104,نادرست! پاسخ صحیح گوینده۴ است,0,3,1,1.4004021250002552,None,53.645779083999514,53.657712000000174,55.64386429199658,55.64389670899982,55.66800345900265,55.64431204200082,55.66800345900265,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-9-Per.wav,Speaker3,گوینده۳,0,0,0,47,0,3,3,48,55.66800345900265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.64491462500155,56.64526795900019,56.64526795900019,56.64526795900019,56.64526795900019,,56.64526795900019,56.64526795900019,56.64526795900019,58.61418383399723,نادرست! پاسخ صحیح گوینده۳ است,0,4,1,1.9647036250025849,None,58.61437987499812,58.62572883399844,60.611610792002466,60.611644791999424,60.63532862500142,60.612087959001656,60.63532862500142,545118,001,2024-08-02_10h35.31.835,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 10h35.36.226099 +0900,
