SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,CorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,TrainingGroup2.started,image_11.started,SpeakerPicture2.started,image_5.started,image_6.started,Sound2.started,Instruction2.started,Response2.started,TrainingGroup2.stopped,feedbackText,Response2.keys,Response2.rt,Response2.duration,FeedbackRoutine2.started,FeedbackText2.started,FeedbackRoutine2.stopped,FeedbackText2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009499124993453734,0.009803583001485094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
,,,,,,,,,,,,,,,,,,,0.009816542005864903,0.013840041996445507,0.013840041996445507,1.5135067079972941,2,1.4582215000118595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5135331670026062,1.5697177080000984,6.508405083004618,6.518240999667129,6.508405083004618,6.564625083003193,11.525501499669433,16.50736608299485,16.50736608299485,16.512325999996392,16.524032749661515,16.512325999996392,21.514281166663082,26.502912750001997,26.502912750001997,26.502912750001997,26.51533895866693,26.502912750001997,31.514968124658722,36.49467179199564,36.49467179199564,36.51115462499729,36.52319045867286,36.51115462499729,41.51374520866763,46.503145082999254,46.503145082999254,46.498801875000936,,,,,,,,,,,,,,,,,,,,,,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.49882091699692,46.503145082999254,51.55689720799273,51.48977816700062,,,,,,,,,,,,,,,,,,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-10-Per.wav,Speaker2,گوینده۲,,,,,0,0,0,29,51.55689720799273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.52704250000534,51.55689720799273,51.55689720799273,51.55689720799273,51.55689720799273,51.55624133366024,51.55689720799273,51.55689720799273,59.53888150000421,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۲ است,2,7.968385375002981,None,59.539337583002634,59.5625834579987,61.539449749994674,,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-7-Per.wav,Speaker4,گوینده۴,,,,,0,1,1,66,61.56297587500012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5396256249951,61.56297587500012,61.56297587500012,61.56297587500012,61.56297587500012,61.57274395833568,61.56297587500012,61.56297587500012,65.8804856249917,Correct! صحیح است,1,4.309988666995196,None,65.88067870799568,65.890875416997,67.88739895800245,,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-16-Per.wav,Speaker3,گوینده۳,,,,,0,2,2,55,67.91177995799808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.88757458300097,67.91177995799808,67.91177995799808,67.91177995799808,67.91177995799808,67.92069750032582,67.91177995799808,67.91177995799808,73.79724204199738,Correct! صحیح است,1,5.880574791008257,None,73.797487792006,73.80406549999316,75.7951234170032,75.81931183299457,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-16-Per.wav,Speaker2,گوینده۲,,,,,0,3,3,35,75.81931183299457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.79600483299873,75.81931183299457,75.81931183299457,75.81931183299457,75.81931183299457,75.82764437533527,75.81931183299457,75.81931183299457,77.69289183299406,Correct! صحیح است,1,1.8705637919920264,None,77.69700266700238,77.70350812499237,79.69591729200329,79.72010062499612,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-2-Per.wav,Speaker2,گوینده۲,,,,,0,4,4,21,79.72010062499612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.69610541699512,79.72010062499612,79.72010062499612,79.72010062499612,79.72010062499612,79.72902058333469,79.72010062499612,79.72010062499612,80.72772304200043,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۲ است,3,1.0054926669981796,None,80.7316246249975,80.74233220799943,82.72936716700497,82.75635391699325,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-9-Per.wav,Speaker2,گوینده۲,,,,,0,5,5,28,82.75635391699325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7298774170049,82.75635391699325,82.75635391699325,82.75635391699325,82.75635391699325,82.76168870833547,82.75635391699325,82.75635391699325,88.76169420800579,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده۲ است,4,6.002507167009753,None,88.76192241700483,88.76837712500128,90.75672154199856,90.78384504199494,685987,001,2024-06-23_17h18.57.428,5-11,2024.1.4,None,2024-06-23 17h19.02.149304 +0900,
