SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009243082997272722,0.009639874999265885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009654707999288803,0.015901540999038843,0.015901540999038843,1.6896647499997925,3,1.63272670799779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6897010409993527,1.7494837079975696,6.690924749997066,6.699586832666925,6.690924749997066,6.746483374998206,11.688788207666464,16.679607499998383,16.679607499998383,16.679607499998383,16.69107887466477,16.679607499998383,21.697842624664432,26.67844949999926,26.67844949999926,26.682875749997038,26.695116166665926,26.682875749997038,31.695655124666033,36.68047824999667,36.68047824999667,36.68537799999831,36.69714491666333,36.68537799999831,41.69577099966433,46.68662662499992,46.68662662499992,46.682057499998336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6820774159969,46.68662662499992,47.75111249999827,47.67071470799783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.67072704099701,47.670851082999434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-4-En.wav,Speaker2,گوینده۲,0,0,0,15,0,0,0,23,,,,,,,,,,,,47.75111249999827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.722823957999935,47.75111249999827,47.75111249999827,47.75111249999827,47.75111249999827,47.75387179133153,47.75111249999827,47.75111249999827,50.29911233299936,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,2.5389620419991843,None,50.30365654100024,50.31676816599793,52.305362457998854,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-7-En.wav,Speaker2,گوینده۲,0,0,0,15,0,1,1,26,,,,,,,,,,,,52.32859470799667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.30554133300029,52.32859470799667,52.32859470799667,52.32859470799667,52.32859470799667,52.33865787433072,52.32859470799667,52.32859470799667,52.32915120799953,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,4.511778500000219,None,52.32957287499812,52.33951666599751,54.323883499997464,54.34701833299914,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-18-En.wav,Speaker3,گوینده۳,0,0,0,15,0,2,2,57,,,,,,,,,,,,54.34701833299914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.324060582999664,54.34701833299914,54.34701833299914,54.34701833299914,54.34701833299914,54.356880041330925,54.34701833299914,54.34701833299914,54.3580967079979,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.006944292003026931,None,54.362088290999964,54.37453354099853,56.36268808299792,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-3-En.wav,Speaker3,گوینده۳,0,0,0,15,0,3,3,42,,,,,,,,,,,,56.38590362499963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.362851040998066,56.38590362499963,56.38590362499963,56.38590362499963,56.38590362499963,56.37931724966644,56.38590362499963,56.38590362499963,56.63391045800017,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.24574016599945026,None,56.63776549999966,56.650338832998386,58.63945991599758,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-2-En.wav,Speaker3,گوینده۳,0,0,0,15,0,4,4,41,,,,,,,,,,,,58.66783291599859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64008162499886,58.66783291599859,58.66783291599859,58.66783291599859,58.66783291599859,58.672636083331355,58.66783291599859,58.66783291599859,58.827107790999435,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.14814841599945794,None,58.83088495799893,58.84472045799703,60.83162412499951,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
