SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,text_14.started,text_14.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,SessionNumberText.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,Break.started,Break.stopped,mouse3.x,mouse3.y,mouse3.leftButton,mouse3.midButton,mouse3.rightButton,mouse3.time,mouse3.clicked_name,Proceed_Break,break_message.started,checkbox3.started,text_component.started,mouse3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008090875000561937,0.008424916999501875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
,,,,,,,,,,,,,,,,,,,0.00844445799884852,0.01277516699883563,0.01277516699883563,4.743309416999182,3,4.695174124999539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,4.743357749999632,4.753525207999701,0.0001727920007397188,4.753525207999701,7.7148355829995126,[-0.023421588594704685],[-0.18431771894093688],[1],[0],[0],[2.9706386249999923],['checkbox'],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.715032250000149,7.747337832999619,12.70577858300021,12.716387791666664,12.70577858300021,12.746344125000178,17.702781666999726,17.702781666999726,19.70605308300037,19.715773791666166,19.70605308300037,24.70188425000015,24.70188425000015,26.708172041999205,26.716056374665882,26.708172041999205,31.697889582999778,31.697889582999778,33.70992395800022,33.716405041667045,33.70992395800022,38.69963091699901,38.69963091699901,38.69540824999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.695538832998864,38.70261454200045,48.698050167000474,48.71082674999889,68.77214429199921,68.69409458299924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.69410841699937,68.69423604199983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-17-En.wav,Speaker4,گوینده۴,0,0,0,63,0,0,0,76,68.77214429199921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.74655766700016,68.77214429199921,68.77214429199921,68.77214429199921,68.77214429199921,68.77716841633385,68.77214429199921,68.77214429199921,68.77214429199921,70.59134329199878,Incorrect! The correct answer is Speaker4.,0,1,1,1.813506000000416,None,70.59578087499904,70.60760495800059,72.61467862499921,72.59361783299937,72.59364474999893,72.59397004200036,[],[],[],[],[],[],[],False,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-19-En.wav,Speaker4,گوینده۴,0,0,0,63,0,1,1,78,72.61467862499921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.59551016699879,72.61467862499921,72.61467862499921,72.61467862499921,72.61467862499921,72.60948433366708,72.61467862499921,72.61467862499921,72.61467862499921,72.88516812499984,Incorrect! The correct answer is Speaker4.,0,1,1,0.2590977079998993,None,72.8892170830004,72.90117679200011,74.90548633300023,74.88535000000047,74.88535929200043,74.88547208300042,[],[],[],[],[],[],[],False,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-18-En.wav,Speaker2,گوینده۲,0,0,0,63,0,2,2,37,74.90548633300023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.88589158300056,74.90548633300023,74.90548633300023,74.90548633300023,74.90548633300023,74.90181958366726,74.90548633300023,74.90548633300023,74.90548633300023,75.11329145799937,Incorrect! The correct answer is Speaker2.,0,1,1,0.20267362499907904,None,75.11700283299979,75.12727245799942,77.13374054199994,77.11502387499968,77.115036666999,77.11513666700012,[],[],[],[],[],[],[],False,,,,,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-20-En.wav,Speaker3,گوینده۳,0,0,0,63,0,3,3,59,77.13374054199994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.11559495799884,77.13374054199994,77.13374054199994,77.13374054199994,77.13374054199994,77.13145991666558,77.13374054199994,77.13374054199994,77.13374054199994,77.51693945799889,Incorrect! The correct answer is Speaker3.,0,1,1,0.371274833998541,None,77.52079537499958,77.53165404199899,79.5339986250001,79.51873004200024,79.51875766699959,82.17251983300048,[-0.023421588594704685],[-0.18431771894093688],[1],[0],[0],[2.6359688749998895],['checkbox3'],True,79.5339986250001,79.5339986250001,79.5339986250001,0.013247249999039923,812247,001,2024-08-04_11h06.06.402,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 11h06.10.519794 +0900,
