SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,text_2.stopped,image.started,sound_8.started,text_4.started,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,Countdown.started,number1.started,number1.stopped,number2.started,number2.stopped,number3.started,number3.stopped,start.started,start.stopped,silence.started,silence.stopped,Countdown.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,Break.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,Proceed_Break,FeedbackText.stopped,break_message.started,checkbox1.started,text_component.started,mouse1.started,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,Finish.started,text_11.started,text_11.stopped,Finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008606874998804415,0.008967874997324543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008986749999166932,0.014532417000737041,0.014532417000737041,4.042126917000132,1,3.9862890829972457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.042156957999396,4.053081624999322,0.00019216700093238614,4.053081624999322,5.931518833000155,[0.0010183299389002036],[-0.17006109979633402],[1],[0],[0],[1.8885259169983328],['checkbox'],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.931684499999392,5.9756503329990664,10.964962666999782,12.93034862499917,12.94048679166396,12.93034862499917,17.929828042000736,17.929828042000736,20.929952250000497,20.93336320866389,20.929952250000497,25.917707374999736,25.917707374999736,28.928249500000675,28.931121958667305,28.928249500000675,33.92448437499843,33.92448437499843,36.92789545800042,36.935581166664875,36.92789545800042,41.920112749998225,41.920112749998225,41.914780707997124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.91492174999803,41.92401450000034,51.91398299999855,51.912076999997225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.91209374999744,51.93411683299928,52.92215304199999,53.4278222920002,54.41833679199772,54.92809391699848,55.91360183299912,56.429191125000216,58.42066012500072,58.42066012500072,60.49865287499779,60.41287616699992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41292904199872,60.41327287499735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-11-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,54,0,0,0,10,,,,,60.49865287499779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.46863287499946,60.49865287499779,60.49865287499779,60.49865287499779,60.49865287499779,60.49533983333216,60.49865287499779,60.49865287499779,60.49865287499779,65.41198837499905,صحیح است,1,1,1,4.906429041999218,None,65.41238212499957,65.42798000000039,67.41825887499726,67.41829170799974,67.41872962499838,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-2-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,54,0,1,1,61,,,,,67.44874987499861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.42164137500004,67.44874987499861,67.44874987499861,67.44874987499861,67.44874987499861,67.45138608333266,67.44874987499861,67.44874987499861,67.44874987499861,69.84869941699799,صحیح است,2,2,4,2.398268332999578,None,69.8524995000007,69.86345116699886,71.84838912499981,71.84839883299719,71.8485211249972,[],[],[],[],[],[],[],False,71.87346008299937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-19-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,54,0,2,2,78,,,,,71.87346008299937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.84891129199968,71.87346008299937,71.87346008299937,71.87346008299937,71.87346008299937,71.88147825033278,71.87346008299937,71.87346008299937,71.87346008299937,73.23431154199716,صحیح است,3,3,4,1.3538740840012906,None,73.23808158300017,73.24902670799929,75.23331437500019,75.23332429199945,75.23343033299898,[],[],[],[],[],[],[],False,75.2599847499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
