SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,TestPhase3.stopped,test3_response_keyboard.keys,test3_response_keyboard.rt,test3_response_keyboard.duration,test3_response,test3_image_file1,test3_image_file2,test3_image_file3,test3_image_file4,test3_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010241250001854496,0.010625917002471397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01064595800198731,0.016795167000964284,0.016795167000964284,1.7257329580024816,3,1.670683457999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7257633750014065,1.7870867919991724,6.716299625000829,6.7252077086671,6.716299625000829,6.784076250001817,11.725240166666724,16.703022375000728,16.703022375000728,16.721149625002,16.733542541667944,16.721149625002,21.72629441666892,26.71653233300094,26.71653233300094,26.720617833001597,26.733198999667607,26.720617833001597,31.733295416667048,36.71688566699959,36.71688566699959,36.71688566699959,36.726861791667275,36.71688566699959,41.7256852496687,46.71171229199899,46.71171229199899,46.70638237499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.706447583001136,46.716462458000024,47.781188875000225,47.700362499999756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.70037545800005,47.70052437499908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-13-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,19,0,0,0,32,,,,,47.781188875000225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.75291462500172,47.781188875000225,47.781188875000225,47.781188875000225,47.781188875000225,47.78344625033545,47.781188875000225,47.781188875000225,49.57268258300246,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,1.7904162499980885,None,49.576677667002514,49.590063292002014,51.58297191699967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-12-En.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,19,0,1,1,71,,,,,51.60713525000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58316058299897,51.60713525000028,51.60713525000028,51.60713525000028,51.60713525000028,51.61627166633528,51.60713525000028,51.60713525000028,52.044234542001504,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,0.4322170829982497,None,52.049045250001654,52.068024583000806,54.050989041999856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-7-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,19,0,2,2,26,,,,,54.07401437500084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.05162429200209,54.07401437500084,54.07401437500084,54.07401437500084,54.07401437500084,54.067493791666735,54.07401437500084,54.07401437500084,54.07455216699964,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,2.391684707999957,None,54.07489320800232,54.08465987499949,56.07667154199953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-15-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,19,0,3,3,54,,,,,56.10273837500063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.077415333002136,56.10273837500063,56.10273837500063,56.10273837500063,56.10273837500063,56.10985054133246,56.10273837500063,56.10273837500063,56.1032915830001,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.9423693329990783,None,56.103657208001096,56.11333187499986,58.09880541700113,58.122237999999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-12-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,19,0,4,4,11,,,,,58.122237999999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.09897937500136,58.122237999999925,58.122237999999925,58.122237999999925,58.122237999999925,58.13189358333378,58.122237999999925,58.122237999999925,58.41935783300141,Correct! صحیح است,1,1,1,0.29405470799974864,None,58.423076082999614,58.43536454200148,60.41896233300213,60.44244158299989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837466,001,2024-07-02_11h40.26.096,5-31,2024.1.4,None,2024-07-02 11h40.31.753219 +0900,
