SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses,total_trials,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,TransitionRoutine.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.009960457973647863,0.010319665976567194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
,,,,,,,,,,,,,,,,,,,,,,,0.010336040984839201,0.01614712498849258,0.01614712498849258,0.6766836249735206,3,0.6155284580017906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6767118329880759,0.733901582978433,5.676708457991481,5.682925249657516,5.676708457991481,5.733323665976059,10.677063541665364,15.667211540974677,15.667211540974677,15.667211540974677,15.677418374664073,15.667211540974677,20.690904457649836,25.65990604099352,25.65990604099352,25.67196379098459,25.676572707660185,25.67196379098459,30.687437207645658,35.65998870797921,35.65998870797921,35.67538308299845,35.676655374645875,35.67538308299845,40.6763644996429,45.67647654097527,45.67647654097527,45.67181079098373,,,,,,,,,,,,,,,,,,,,,,,,,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.67189224998583,45.67647654097527,50.74478470798931,50.66395595797803,,,,,,,,,,,,,,,,,,,,,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6640071659931,50.664283665973926,,,,,,,,,,,,,,,,,,,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-10-En.wav,Speaker2,گوینده۲,,,,,,,,,0,0,0,29,50.74478470798931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.71936116597499,50.74478470798931,50.74478470798931,50.74478470798931,50.74478470798931,50.746398416309,50.74478470798931,50.74478470798931,53.15998116598348,Correct! صحیح است,2,2.412228083005175,None,0,1,53.16417466598796,53.17801508298726,55.17277141599334,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-7-En.wav,Speaker2,گوینده۲,,,,,,,,,0,1,1,26,55.19738729097298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.17336908300058,55.19738729097298,55.19738729097298,55.19738729097298,55.19738729097298,55.20592254133274,55.19738729097298,55.19738729097298,59.92897633300163,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,4.720265165989986,None,0,2,59.9292210409767,59.940976124984445,61.93367754097562,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-9-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,2,2,8,61.960118707997026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.934330541000236,61.960118707997026,61.960118707997026,61.960118707997026,61.960118707997026,61.96680824930857,61.960118707997026,61.960118707997026,64.8217474159901,Correct! صحیح است,1,2.8599945830064826,None,0,3,64.82584487498389,64.83821124999668,66.82567441597348,66.84823729097843,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-10-En.wav,Speaker3,گوینده۳,,,,,,,,,0,3,3,49,66.84823729097843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.82583416599664,66.84823729097843,66.84823729097843,66.84823729097843,66.84823729097843,66.84212545765719,66.84823729097843,66.84823729097843,68.64522274999763,Correct! صحیح است,3,1.7918154999788385,None,0,4,68.64895574998809,68.65997145799338,70.65514429099858,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-9-En.wav,Speaker2,گوینده۲,,,,,,,,,0,4,4,28,70.67822816598346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.65580008298275,70.67822816598346,70.67822816598346,70.67822816598346,70.67822816598346,70.68831883330907,70.67822816598346,70.67822816598346,71.82154845798505,Correct! صحیح است,2,1.139767832995858,None,0,5,71.8267462499789,71.8384991659841,73.82574233299238,73.85011704097269,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-5-En.wav,Speaker4,گوینده۴,,,,,,,,,0,5,5,64,73.85011704097269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.82675495799049,73.85011704097269,73.85011704097269,73.85011704097269,73.85011704097269,73.85796504130897,73.85011704097269,73.85011704097269,76.238472832978,Correct! صحیح است,4,2.3874753339914605,None,0,6,76.2424583749962,76.25352558298619,78.24936462499318,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-15-En.wav,Speaker2,گوینده۲,,,,,,,,,0,6,6,34,78.27495370799443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.24997670800076,78.27495370799443,78.27495370799443,78.27495370799443,78.27495370799443,78.2825085833106,78.27495370799443,78.27495370799443,80.26815674998215,Correct! صحیح است,2,1.9856448749778792,None,0,7,80.27219120800146,80.28055312499055,82.27287583297584,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-9-En.wav,Speaker4,گوینده۴,,,,,,,,,0,7,7,68,82.29628179100109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.27345829099067,82.29628179100109,82.29628179100109,82.29628179100109,82.29628179100109,82.3060384993228,82.29628179100109,82.29628179100109,84.92903845797991,Correct! صحیح است,4,2.6318424160126597,None,0,8,84.93279233298381,84.94410824999795,86.93632424998214,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-1-En.wav,Speaker2,گوینده۲,,,,,,,,,0,8,8,20,86.95842650000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.93648320797365,86.95842650000122,86.95842650000122,86.95842650000122,86.95842650000122,86.95295899964209,86.95842650000122,86.95842650000122,89.75031170799048,Correct! صحیح است,2,2.7843110829999205,None,0,9,89.75411079099285,89.76255716598826,91.75663287498173,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-3-En.wav,Speaker4,گوینده۴,,,,,,,,,0,9,9,62,91.7831249999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.75725758299814,91.7831249999872,91.7831249999872,91.7831249999872,91.7831249999872,91.78977991632613,91.7831249999872,91.7831249999872,93.43327016598778,Correct! صحیح است,4,1.6409790419857018,None,0,10,93.4375561249908,93.44672329098103,95.43341345799854,95.4610717909818,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-11-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,10,10,10,95.4610717909818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.43425945797935,95.4610717909818,95.4610717909818,95.4610717909818,95.4610717909818,95.46592279131485,95.4610717909818,95.4610717909818,96.78367049997905,Correct! صحیح است,1,1.3187532080046367,None,0,11,96.7877790829807,96.80002054097713,98.79219724997529,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-16-En.wav,Speaker1,گوینده ۱,,,,,,,,,0,11,11,15,98.81589020797401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79279429098824,98.81589020797401,98.81589020797401,98.81589020797401,98.81589020797401,98.82535370832969,98.81589020797401,98.81589020797401,100.64989916599006,Correct! صحیح است,1,1.831713249994209,None,0,12,100.65407216598396,100.66981849999866,102.65373108297354,102.6777644159738,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-12-En.wav,Speaker4,گوینده۴,,,,,,,,,0,12,12,71,102.6777644159738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.65389254098409,102.6777644159738,102.6777644159738,102.6777644159738,102.6777644159738,102.68686141633273,102.6777644159738,102.6777644159738,105.27565691599739,Correct! صحیح است,4,2.595653249998577,None,0,13,105.27948079098132,105.2907152499829,107.28001683298498,,,868230,001,2024-06-26_09h50.14.867,5-17,2024.1.4,None,2024-06-26 09h50.20.681380 +0900,
