SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,Initialize.started,Initialize.stopped,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.012865665994468145,0.013220041000749916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
,,,,,,,,,,,,,,,0.013235540995083284,0.013381999997363891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
,,,,,,,,,,,,,,,,,0.013388540995947551,0.01824641599523602,0.01824641599523602,1.5029345410002861,1,1.4444957090017851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,1.5029687499991269,1.5722349999996368,6.494646166000166,6.503711832662035,6.494646166000166,6.571208499997738,11.504231541661527,16.491248457998154,16.491248457998154,16.491248457998154,16.50280524966753,16.491248457998154,21.50307199966143,26.486251915994217,26.486251915994217,26.50083333299699,26.502918582660882,26.50083333299699,31.511061124667563,36.4962624999971,36.4962624999971,36.4962624999971,36.507880749665006,36.4962624999971,41.51203916666806,46.48633087499911,46.48633087499911,46.484230582995224,,,,,,,,,,,,,,,,,,,,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4842491659947,46.5009061249948,51.549113499997475,51.48554695799976,,,,,,,,,,,,,,,,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-17-Per.wav,Speaker1,گوینده ۱,0,0,0,16,51.549113499997475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.522044749995985,51.549113499997475,51.549113499997475,51.549113499997475,51.549113499997475,51.55198104166726,51.549113499997475,51.549113499997475,53.970531874998414,1,2.4151283750034054,None,54.02335262500128,54.044851124999695,56.0334482909966,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-7-Per.wav,Speaker1,گوینده ۱,0,1,1,6,56.06057616599719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.037757833000796,56.06057616599719,56.06057616599719,56.06057616599719,56.06057616599719,56.066592791329214,56.06057616599719,56.06057616599719,57.85955570799706,1,1.7958516669968958,None,57.86941866599955,57.87627158299438,59.86457929099561,59.889637832995504,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-18-Per.wav,Speaker1,گوینده ۱,0,2,2,17,59.889637832995504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.86727699999756,59.889637832995504,59.889637832995504,59.889637832995504,59.889637832995504,59.897645499332185,59.889637832995504,59.889637832995504,62.580069165996974,2,2.6830657079990488,None,62.58421016599459,62.599414207994414,64.58573087499826,,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-10-Per.wav,Speaker3,گوینده۳,0,3,3,49,64.6134784159949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5896619999985,64.6134784159949,64.6134784159949,64.6134784159949,64.6134784159949,64.61899991633302,64.6134784159949,64.6134784159949,71.11803216599947,3,6.50049408400082,None,71.12207787499938,71.13242733299558,73.11718416599615,73.14343454099435,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-15-Per.wav,Speaker4,گوینده۴,0,4,4,74,73.14343454099435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.11982495799748,73.14343454099435,73.14343454099435,73.14343454099435,73.14343454099435,73.15025333333372,73.14343454099435,73.14343454099435,81.01557945799868,4,7.8690200409982936,None,81.01972016599757,81.02657808300137,83.0153158749963,83.04364474999602,875401,001,2024-06-21_21h11.08.342,5-8,2024.1.4,None,2024-06-21 21h11.12.943918 +0900,
