SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,text_2.stopped,image.started,sound_7.started,text_4.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,text_14.started,text_14.stopped,Instructions.stopped,Countdown.started,number1.started,number1.stopped,number2.started,number2.stopped,number3.started,number3.stopped,start.started,start.stopped,silence.started,silence.stopped,Countdown.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,SessionNumberText.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,Break.started,Break.stopped,mouse3.x,mouse3.y,mouse3.leftButton,mouse3.midButton,mouse3.rightButton,mouse3.time,mouse3.clicked_name,Proceed_Break,break_message.started,mouse3.started,checkbox3.started,text_component.started,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,TestPhase3.stopped,test3_response_keyboard.keys,test3_response_keyboard.rt,test3_response_keyboard.duration,test3_response,test3_image_file1,test3_image_file2,test3_image_file3,test3_image_file4,test3_sound_file,english_correct_answer,persian_correct_answer,finish.started,text_11.started,text_11.stopped,finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00938549999773386,0.009788999999727821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009806540998397395,0.0141496249998454,0.0141496249998454,2.0353086659997643,3,1.982811916997889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.035339833000762,2.045299665998755,0.00018937499771709554,2.045299665998755,2.578096833000018,[-0.11608961303462322],[0.2576374745417515],[1],[0],[0],[0.5420230000017909],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5782619579986203,2.617159375000483,7.613663000000088,9.57135874999949,9.581598332664969,9.57135874999949,14.56932125000094,14.56932125000094,17.578076457997668,17.58956420766505,17.578076457997668,22.574274832997617,22.574274832997617,25.57116437500008,25.582380582666033,25.57116437500008,30.55968620799831,30.55968620799831,33.57997208300003,33.58853633266723,33.57997208300003,38.57678066600056,38.57678066600056,38.57179662499766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.571881083000335,38.57678066600056,48.5686849579979,48.5686849579979,68.56687749999764,68.56280608299858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.56282337499943,68.56687749999764,69.55594716599808,70.079260333001,71.06664591599838,71.57937133299856,72.57372804099941,73.06749837499956,75.06399362500088,75.06399362500088,77.13842108300014,77.05553599999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.05558116599786,77.05610783299926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-18-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,72,0,0,0,37,,,,,77.13842108300014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.11361849999957,77.13842108300014,77.13842108300014,77.13842108300014,77.13842108300014,77.13792112433414,77.13842108300014,77.13842108300014,77.13842108300014,82.40317629099809,Incorrect! The correct answer is Speaker2.,0,1,1,5.2619602090017,None,82.40366270799859,82.41527120799947,84.42536225000003,84.40023608299816,84.40027162499973,84.40093308299765,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-11-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,72,0,1,1,50,,,,,84.42536225000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.40358045799803,84.42536225000003,84.42536225000003,84.42536225000003,84.42536225000003,84.43245199933202,84.42536225000003,84.42536225000003,84.42536225000003,89.01854820799781,Correct!,1,1,3,4.589029124999797,None,89.01875329099857,89.03076650000003,91.03488795799785,91.0147208749986,91.01473229099793,91.01483708299929,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-1-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,72,0,2,2,40,,,,,91.03488795799785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01525112499803,91.03488795799785,91.03488795799785,91.03488795799785,91.03488795799785,91.03113120766672,91.03488795799785,91.03488795799785,91.03488795799785,92.19945849999931,Correct!,1,1,3,1.1546437500001048,None,92.20370374999766,92.21502520799913,94.21864508299768,94.19857366599899,94.19858520799971,94.19868862499789,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
