SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrialNumber,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,SessionNumberText.stopped,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackText.stopped,FeedbackRoutine1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0079916670001694,0.009319041997514432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
,,,,,,,,,,,,,,,,,,,,0.009332541998446686,0.015686208000261104,0.015686208000261104,0.5054230419991654,1,0.45272716699764715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5054495419972227,0.5175954169972101,0.00016816700008348562,0.5175954169972101,1.62189079199743,[0.02240325865580448],[-0.20061099796334012],[1],[0],[0],[1.1158022909985448],['checkbox'],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6220227919984609,1.6666992919999757,6.6140743750002,6.621462041665169,6.6140743750002,6.65698508299829,14.614698499997758,14.614698499997758,14.614698499997758,14.623235874664049,14.614698499997758,22.608521582998947,22.608521582998947,22.62082774999726,22.625188249665612,22.62082774999726,30.616398999998637,30.616398999998637,30.616398999998637,30.62587041666508,30.616398999998637,38.60913462499957,38.60913462499957,38.605166416997236,,,,,,,,,,,,,,,,,,,,,,,,,,,,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.605232874997455,38.62171670799944,39.703674541997316,39.61564066699793,,,,,,,,,,,,,,,,,,,,,,,,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.615727917000186,39.61606549999851,,,,,,,,,,,,,,,,,,,,,,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-19-Per.wav,Speaker1,گوینده ۱,19,0,0,0,42,0,0,0,18,39.703674541997316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6731125419974,39.703674541997316,39.703674541997316,39.703674541997316,39.703674541997316,39.698067208331246,39.703674541997316,39.703674541997316,39.703674541997316,41.6951913749981,43.20816654199734,صحیح است,1,1,1,3.497857375001331,None,43.20860420799727,43.22441799999797,45.235562333000416,45.209201666999434,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-17-Per.wav,Speaker3,گوینده۳,57,0,0,0,42,0,1,1,56,45.235562333000416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.20978208299857,45.235562333000416,45.235562333000416,45.235562333000416,45.235562333000416,45.24167954133057,45.235562333000416,45.235562333000416,45.235562333000416,47.22789537499921,48.39593354200042,صحیح است,2,2,3,3.1575872089997574,None,48.39613208299852,48.40634791699995,50.416574208000384,50.39190787500047,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-4-Per.wav,Speaker3,گوینده۳,44,0,0,0,42,0,2,2,43,50.416574208000384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.39209375000064,50.416574208000384,50.416574208000384,50.416574208000384,50.416574208000384,50.42502991633276,50.416574208000384,50.416574208000384,50.416574208000384,52.40396150000015,54.23358170799838,نادرست! پاسخ صحیح گوینده۳ است,2,3,2,3.8132032079993223,None,54.23377533299936,54.246367499999906,56.256766374997824,56.231771916998696,945198,001,2024-07-31_14h48.29.002,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-07-31 14h48.34.083933 +0900,
,,,,,,,,,,,,,,,,56.256766374997824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.23199383300016,56.256766374997824,56.256766374997824,56.256766374997824,56.256766374997824,56.264862625332654,56.256766374997824,56.256766374997824,56.256766374997824,58.247166082997865,,,,,,,,,,,,,,,,,,,
